qids	paper/5-fields/btc-runs/ffdm/ALL.ALL-map	paper/5-fields/btc-runs/pffdm/ALL.ALL-map
SemSearch_ES-1	0.086	0.084
SemSearch_ES-2	0.254	0.309
SemSearch_ES-3	0.336	0.336
SemSearch_ES-4	0.073	0.067
SemSearch_ES-5	0.256	0.290
SemSearch_ES-6	0.125	0.125
SemSearch_ES-7	0.174	0.183
SemSearch_ES-8	0.000	0.000
SemSearch_ES-9	0.016	0.019
SemSearch_ES-10	0.119	0.117
SemSearch_ES-11	0.299	0.297
SemSearch_ES-12	0.024	0.023
SemSearch_ES-13	0.000	0.000
SemSearch_ES-14	0.132	0.125
SemSearch_ES-15	0.143	0.143
SemSearch_ES-16	0.155	0.156
SemSearch_ES-17	0.143	0.136
SemSearch_ES-18	0.251	0.250
SemSearch_ES-19	0.157	0.125
SemSearch_ES-20	0.010	0.011
SemSearch_ES-21	0.082	0.080
SemSearch_ES-22	0.122	0.133
SemSearch_ES-23	0.142	0.153
SemSearch_ES-24	0.088	0.088
SemSearch_ES-25	0.190	0.182
SemSearch_ES-26	0.117	0.120
SemSearch_ES-27	0.000	0.000
SemSearch_ES-28	0.046	0.045
SemSearch_ES-29	0.017	0.025
SemSearch_ES-30	0.000	0.000
SemSearch_ES-31	0.111	0.115
SemSearch_ES-32	0.009	0.006
SemSearch_ES-33	0.306	0.310
SemSearch_ES-34	0.164	0.161
SemSearch_ES-35	0.022	0.011
SemSearch_ES-36	0.151	0.120
SemSearch_ES-37	0.123	0.134
SemSearch_ES-38	0.157	0.150
SemSearch_ES-39	0.215	0.241
SemSearch_ES-40	0.000	0.000
SemSearch_ES-41	0.217	0.213
SemSearch_ES-42	0.047	0.051
SemSearch_ES-43	0.269	0.254
SemSearch_ES-44	0.010	0.022
SemSearch_ES-45	0.087	0.081
SemSearch_ES-46	0.581	0.594
SemSearch_ES-47	0.081	0.079
SemSearch_ES-48	0.000	0.000
SemSearch_ES-49	0.202	0.206
SemSearch_ES-50	0.002	0.002
SemSearch_ES-51	0.086	0.089
SemSearch_ES-52	0.185	0.181
SemSearch_ES-53	0.205	0.193
SemSearch_ES-54	0.222	0.224
SemSearch_ES-55	0.000	0.000
SemSearch_ES-56	0.223	0.206
SemSearch_ES-57	0.171	0.177
SemSearch_ES-58	0.089	0.092
SemSearch_ES-59	0.040	0.029
SemSearch_ES-60	0.123	0.112
SemSearch_ES-61	0.168	0.165
SemSearch_ES-62	0.667	0.667
SemSearch_ES-63	0.092	0.115
SemSearch_ES-64	0.048	0.050
SemSearch_ES-65	0.035	0.034
SemSearch_ES-66	0.303	0.304
SemSearch_ES-67	0.108	0.151
SemSearch_ES-68	0.174	0.183
SemSearch_ES-69	0.003	0.006
SemSearch_ES-70	0.419	0.419
SemSearch_ES-71	0.054	0.052
SemSearch_ES-72	0.080	0.095
SemSearch_ES-73	0.127	0.127
SemSearch_ES-74	0.098	0.097
SemSearch_ES-75	0.500	0.500
SemSearch_ES-76	0.108	0.106
SemSearch_ES-77	0.167	0.167
SemSearch_ES-78	0.148	0.142
SemSearch_ES-79	0.069	0.067
SemSearch_ES-80	0.268	0.272
SemSearch_ES-81	0.144	0.176
SemSearch_ES-82	0.041	0.042
SemSearch_ES-83	0.071	0.044
SemSearch_ES-84	0.202	0.206
SemSearch_ES-85	0.081	0.101
SemSearch_ES-86	0.050	0.093
SemSearch_ES-87	0.000	0.000
SemSearch_ES-88	0.082	0.088
SemSearch_ES-89	0.119	0.146
SemSearch_ES-90	0.059	0.061
SemSearch_ES-91	0.132	0.144
SemSearch_ES-92	0.575	0.575
SemSearch_ES-93	0.297	0.301
SemSearch_ES-94	0.400	0.404
SemSearch_ES-95	0.214	0.229
SemSearch_ES-96	0.373	0.407
SemSearch_ES-97	0.475	0.531
SemSearch_ES-98	0.209	0.244
SemSearch_ES-99	0.014	0.010
SemSearch_ES-100	0.700	0.700
SemSearch_ES-101	0.100	0.100
SemSearch_ES-102	0.073	0.089
SemSearch_ES-103	0.250	0.250
SemSearch_ES-104	0.176	0.137
SemSearch_ES-105	0.000	0.000
SemSearch_ES-106	0.290	0.290
SemSearch_ES-107	0.002	0.003
SemSearch_ES-108	0.278	0.250
SemSearch_ES-109	0.074	0.077
SemSearch_ES-110	0.007	0.006
SemSearch_ES-111	0.009	0.008
SemSearch_ES-112	0.170	0.170
SemSearch_ES-113	0.002	0.000
SemSearch_ES-114	0.095	0.104
SemSearch_ES-115	0.000	0.000
SemSearch_ES-116	0.000	0.000
SemSearch_ES-117	0.000	0.000
SemSearch_ES-118	0.112	0.115
SemSearch_ES-119	0.137	0.144
SemSearch_ES-120	0.248	0.271
SemSearch_ES-121	0.000	0.000
SemSearch_ES-122	0.333	0.500
SemSearch_ES-123	0.096	0.108
SemSearch_ES-124	1.000	1.000
SemSearch_ES-125	0.019	0.022
SemSearch_ES-126	0.027	0.028
SemSearch_ES-127	0.145	0.147
SemSearch_ES-128	0.001	0.002
SemSearch_ES-129	0.024	0.009
SemSearch_ES-130	0.153	0.188
SemSearch_ES-131	0.151	0.154
SemSearch_ES-132	0.431	0.439
SemSearch_ES-133	0.297	0.297
SemSearch_ES-134	0.000	0.000
SemSearch_ES-135	0.027	0.065
SemSearch_ES-136	0.000	0.000
SemSearch_ES-137	0.000	0.000
SemSearch_ES-138	0.000	0.000
SemSearch_ES-139	0.000	0.000
SemSearch_ES-140	0.000	0.000
SemSearch_ES-141	0.150	0.145
SemSearch_ES-142	0.216	0.206
SemSearch_LS-1	0.270	0.305
SemSearch_LS-2	0.057	0.082
SemSearch_LS-3	0.125	0.144
SemSearch_LS-4	0.091	0.116
SemSearch_LS-5	0.026	0.019
SemSearch_LS-6	0.190	0.187
SemSearch_LS-7	0.000	0.004
SemSearch_LS-8	0.200	0.163
SemSearch_LS-9	0.000	0.000
SemSearch_LS-10	0.282	0.534
SemSearch_LS-11	0.057	0.045
SemSearch_LS-12	0.010	0.018
SemSearch_LS-13	0.121	0.128
SemSearch_LS-14	0.042	0.024
SemSearch_LS-15	0.000	0.000
SemSearch_LS-16	0.323	0.331
SemSearch_LS-17	0.000	0.000
SemSearch_LS-18	0.154	0.070
SemSearch_LS-19	0.583	0.583
SemSearch_LS-20	0.030	0.042
SemSearch_LS-21	0.000	0.000
SemSearch_LS-22	0.023	0.023
SemSearch_LS-23	0.000	0.000
SemSearch_LS-24	0.081	0.081
SemSearch_LS-25	0.207	0.213
SemSearch_LS-26	0.049	0.043
SemSearch_LS-27	0.000	0.000
SemSearch_LS-28	0.000	0.000
SemSearch_LS-29	0.122	0.118
SemSearch_LS-30	0.081	0.050
SemSearch_LS-31	0.003	0.003
SemSearch_LS-32	0.008	0.033
SemSearch_LS-33	0.240	0.302
SemSearch_LS-34	0.604	0.629
SemSearch_LS-35	0.102	0.080
SemSearch_LS-36	0.202	0.212
SemSearch_LS-37	0.378	0.361
SemSearch_LS-38	0.017	0.025
SemSearch_LS-39	0.513	0.584
SemSearch_LS-40	0.000	0.000
SemSearch_LS-41	0.333	0.333
SemSearch_LS-42	0.046	0.065
SemSearch_LS-43	0.262	0.249
SemSearch_LS-44	0.193	0.183
SemSearch_LS-45	0.000	0.000
SemSearch_LS-46	0.010	0.016
SemSearch_LS-47	0.000	0.000
SemSearch_LS-48	0.000	0.000
SemSearch_LS-49	0.009	0.007
SemSearch_LS-50	0.305	0.295
